Column,Bins,Optimal Alpha,KL Divergence
sv.current_measurement_phase_2,2,8.008018323538364,0.0022878232309107155
sv.current_measurement_phase_2,4,8.008376387761476,0.04597522516687075
sv.current_measurement_phase_2,6,8.00840563802988,0.049347117776150126
sv.current_measurement_phase_2,8,8.008646500590219,0.07682065726299618
sv.current_measurement_phase_2,10,8.008683446490522,0.08180936820569064
sv.current_measurement_phase_2,12,8.008784660782492,0.09360884062659487
sv.current_measurement_phase_2,14,8.008889295011704,0.10569499199767945
sv.current_measurement_phase_2,16,8.009097333174601,0.12739179720679783
sv.current_measurement_phase_3,2,10.00800221107108,0.00030206533712753836
sv.current_measurement_phase_3,4,10.008502418272078,0.06196015035100901
sv.current_measurement_phase_3,6,10.008824167510355,0.09984884090065207
sv.current_measurement_phase_3,8,10.008876453657718,0.10618973263090237
sv.current_measurement_phase_3,10,10.008983152722934,0.11831992147324799
sv.current_measurement_phase_3,12,10.009163410453123,0.13778454524152073
sv.current_measurement_phase_3,14,10.009256080521533,0.14820373080159763
sv.current_measurement_phase_3,16,10.00954575870757,0.178191486418685
sv.current_measurement_4_derived,2,8.008069205545862,0.008613490385776704
sv.current_measurement_4_derived,4,8.019428132388086,0.8872805970734857
sv.current_measurement_4_derived,6,9.577212028766864,0.7981690496253142
sv.current_measurement_4_derived,8,10.059283626954135,0.7981690457280282
sv.current_measurement_4_derived,10,10.359451328725326,0.9519998725783965
sv.current_measurement_4_derived,12,10.564830620928701,0.8908354078076992
sv.current_measurement_4_derived,14,10.701956456177156,0.812650151398979
sv.current_measurement_4_derived,16,10.811084198351006,0.799665916422561
sv.voltage_measurement_phase_1,2,10.00800031695674,3.840194669822543e-05
sv.voltage_measurement_phase_1,4,10.010804822721461,0.3011210749262073
sv.voltage_measurement_phase_1,6,10.011178033222933,0.335312184829545
sv.voltage_measurement_phase_1,8,10.012434313351118,0.4421499497329341
sv.voltage_measurement_phase_1,10,10.012601499695444,0.45459897327067733
sv.voltage_measurement_phase_1,12,10.012875542673644,0.4751494559894371
sv.voltage_measurement_phase_1,14,10.01293239902139,0.4798666786525237
sv.voltage_measurement_phase_1,16,10.013712677551204,0.5398244172907334
sv.voltage_measurement_phase_2,2,8.00805381642461,0.006704527419197796
sv.voltage_measurement_phase_2,4,8.011416491892643,0.34712819927246563
sv.voltage_measurement_phase_2,6,8.01235690655457,0.4340867525883536
sv.voltage_measurement_phase_2,8,8.01238500473914,0.4337844784457987
sv.voltage_measurement_phase_2,10,8.0133306158715,0.5065179195785183
sv.voltage_measurement_phase_2,12,8.013938076996336,0.5507403337133527
sv.voltage_measurement_phase_2,14,8.014479807002475,0.5917417756409846
sv.voltage_measurement_phase_2,16,8.014487753164856,0.5921978657856806
sv.voltage_measurement_phase_3,2,10.00800011084614,1.3855671591439262e-05
sv.voltage_measurement_phase_3,4,10.011511011440275,0.3630321446124263
sv.voltage_measurement_phase_3,6,10.0124485449524,0.44220028525237787
sv.voltage_measurement_phase_3,8,10.013535794520282,0.5255676826567297
sv.voltage_measurement_phase_3,10,10.013964138292089,0.5552200895040367
sv.voltage_measurement_phase_3,12,10.014300909868206,0.5806974472336952
sv.voltage_measurement_phase_3,14,10.01463681432725,0.6017968594894314
sv.voltage_measurement_phase_3,16,10.014395488055474,0.5869722899173413
sv.voltage_measurement_4_derived,2,8.014892177625935,0.621394541867232
sv.voltage_measurement_4_derived,4,8.014892177624084,0.6213945417429532
sv.voltage_measurement_4_derived,6,8.014892177622233,0.6213945416186737
sv.voltage_measurement_4_derived,8,8.014892177620382,0.6213945414943952
sv.voltage_measurement_4_derived,10,8.014892177618531,0.6213945413701165
sv.voltage_measurement_4_derived,12,8.014905465493353,0.6222864156470849
sv.voltage_measurement_4_derived,14,8.015548412475907,0.6645170001521166
sv.voltage_measurement_4_derived,16,8.015548412473839,0.6645170000192125
